	S5	S6	S7	S8	S13	S14	S15	S16	S21	S22	S23	S24
PENG0000004679	11	772	50	303	12	443	45	345	5	515	23	189
PENG0000004680	896	1356	841	1134	1010	870	590	1156	698	1012	995	1126
PENG0000004681	10492	6712	9352	6962	11390	7332	9644	5238	9916	5359	8918	8151
PENG0000004682	2	2	2	1	1	2	2	3	1	1	4	1
PENG0000004683	0	3	3	5	0	4	0	0	0	4	5	1
PENG0000004684	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004685	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004686	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004687	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004688	1624	1593	1599	1515	1669	2040	1637	1844	1145	1227	1411	1702
PENG0000004689	2353	2960	1399	2047	2564	3050	1429	3496	2959	1988	1816	1989
PENG0000004690	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004691	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004692	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004693	50	178	100	157	62	104	125	61	77	95	115	148
PENG0000004694	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004695	6	63	31	32	9	22	5	11	5	25	5	45
PENG0000004696	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004697	97	119	80	71	135	42	91	153	98	120	81	40
PENG0000004698	493	572	741	456	505	542	616	603	333	371	782	541
PENG0000004699	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004700	0	0	2	1	0	0	1	22	3	1	22	1
PENG0000004701	0	1	0	0	0	2	0	7	0	3	3	0
PENG0000004702	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004703	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004704	4015	2871	4602	2764	4214	1683	4122	2633	4108	1979	4711	3050
PENG0000004705	715	594	615	671	741	632	537	560	702	400	688	708
PENG0000004706	0	4	0	0	0	0	0	0	0	0	0	0
PENG0000004707	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004708	0	105	17	69	5	41	3	259	36	51	14	15
PENG0000004709	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004710	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004711	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004712	0	0	0	0	0	0	0	0	0	1	0	0
PENG0000004713	2	0	0	3	0	3	0	1	0	0	2	2
PENG0000004714	653	1415	183	593	786	1203	386	282	308	908	127	540
PENG0000004715	0	0	0	0	0	0	0	0	0	1	0	0
PENG0000004716	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004717	0	1	3	12	0	162	17	1	0	2	1	43
PENG0000004718	0	0	0	0	1	0	1	4	0	1	0	0
PENG0000004719	202	243	196	129	184	315	195	130	179	182	134	180
PENG0000004720	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004721	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004722	18	57	164	106	43	47	101	87	42	26	300	122
PENG0000004723	0	2	0	0	0	0	0	0	0	0	0	1
PENG0000004724	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004725	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004726	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004727	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004728	0	0	0	0	0	0	0	0	1	0	0	0
PENG0000004729	1	0	0	1	0	0	0	0	0	0	0	0
PENG0000004730	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004731	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004732	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004733	7628	6832	5726	7071	8300	7003	6357	6584	8231	5012	5940	7091
PENG0000004734	0	1	0	0	0	0	0	0	0	0	0	1
PENG0000004735	0	0	0	0	0	0	1	0	0	0	1	0
PENG0000004736	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004737	2105	4463	2068	3793	2207	2491	2292	3496	2006	3476	2060	4471
PENG0000004738	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004739	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004740	4	5	0	0	0	0	4	13	0	4	2	2
PENG0000004741	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004742	18258	13613	15371	15109	21166	15673	18125	18280	17741	9756	13631	16184
PENG0000004743	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004744	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004745	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004746	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004747	0	0	0	0	0	0	0	21	0	0	0	6
PENG0000004748	1	190	7	176	2	138	4	56	0	174	7	208
PENG0000004749	4011	2971	3779	3417	4301	3696	3532	3427	3588	2347	3722	3389
PENG0000004750	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004751	9	14	1	0	12	12	0	2	40	10	19	3
PENG0000004752	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004753	3	23	19	33	14	11	2	16	6	24	32	22
PENG0000004754	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004755	1462	2253	1163	1532	1542	1002	1469	2270	1498	2344	1179	1329
PENG0000004756	43	1002	529	1068	33	537	623	484	35	435	537	891
PENG0000004757	9710	9741	9913	9934	11183	7205	12524	10528	10217	6553	10872	7869
PENG0000004758	0	1	0	0	0	0	0	0	0	0	0	0
PENG0000004759	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004760	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004761	1290	1021	1189	930	1320	1038	1181	972	1253	759	1278	1140
PENG0000004762	2648	2241	2679	2201	3038	1613	3280	2933	2405	1808	2506	2217
PENG0000004763	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004764	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004765	0	68	4	5	2	127	4	2	7	78	7	8
PENG0000004766	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004767	9	13	8	7	3	2	9	12	1	2	6	12
PENG0000004768	4	27	15	15	3	0	3	21	0	27	7	13
PENG0000004769	0	0	0	0	0	0	0	0	2	0	0	0
PENG0000004770	1272	1280	1372	1608	1386	898	1704	1819	1234	1029	1367	1493
PENG0000004771	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004772	6	62	65	114	6	22	10	119	4	50	74	109
PENG0000004773	453	683	342	549	520	707	419	2751	474	622	368	714
PENG0000004774	0	32	6	5	0	39	4	4	0	4	0	2
PENG0000004775	5	14	6	6	4	0	4	19	4	10	2	6
PENG0000004776	0	0	0	0	0	0	0	1	0	0	0	0
PENG0000004777	0	0	0	1	0	4	0	0	0	0	0	0
PENG0000004778	0	2	1	0	2	9	6	11	1	1	2	0
PENG0000004779	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004780	5	0	9	6	10	0	4	3	12	0	1	9
PENG0000004781	7	19	34	22	7	40	27	13	8	34	39	33
PENG0000004782	4	25	19	145	2	1	18	43	5	3	19	73
PENG0000004783	0	0	0	0	0	0	0	0	0	1	0	0
PENG0000004784	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004785	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004786	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004787	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004788	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004789	2	0	1	1	0	0	0	6	2	4	0	0
PENG0000004790	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004791	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004792	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004793	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004794	1	0	0	3	0	0	0	0	0	0	1	0
PENG0000004795	0	0	0	0	0	0	0	0	0	0	0	2
PENG0000004796	11	107	41	66	7	20	24	103	27	106	48	50
PENG0000004797	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004798	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004799	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004800	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004801	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004802	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004803	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004804	24	13	25	17	12	6	10	9	18	4	23	21
PENG0000004805	1294	1002	795	778	1529	400	862	3191	1200	631	577	554
PENG0000004806	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004807	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004808	0	2	1	0	0	0	1	0	0	0	0	0
PENG0000004809	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004810	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004811	6	12	1	15	4	0	8	5	11	16	2	5
PENG0000004812	97	217	0	343	342	152	408	0	251	234	425	228
PENG0000004813	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004814	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004815	2369	1747	1969	1750	2557	2475	1957	1556	1985	1224	1884	2060
PENG0000004816	884	1513	794	1467	964	888	925	2760	1054	1050	824	1388
PENG0000004817	1386	2112	942	2130	1380	1390	1035	2228	1059	1568	846	2379
PENG0000004818	216	393	754	607	166	137	916	212	186	258	610	844
PENG0000004819	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004820	0	0	0	0	0	0	1	0	0	1	0	0
PENG0000004821	0	4	0	2	0	2	0	16	0	4	0	3
PENG0000004822	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004823	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004824	0	3	0	0	0	0	0	0	0	1	0	0
PENG0000004825	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004826	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004827	0	0	0	4	0	0	0	0	0	0	0	0
PENG0000004828	0	2	0	0	0	0	0	0	0	0	0	0
PENG0000004829	0	0	0	0	0	0	0	0	0	0	0	1
PENG0000004830	0	0	0	0	0	0	0	0	1	0	0	0
PENG0000004831	1996	1549	2373	2077	2032	1262	2614	1766	1883	1124	2638	2232
PENG0000004832	3	2	1	4	3	0	0	0	1	0	0	0
PENG0000004833	628	225	658	301	556	403	592	300	618	224	624	294
PENG0000004834	1	0	0	0	0	0	0	0	0	0	0	1
PENG0000004835	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004836	5044	4173	4475	4730	5614	5179	5075	5879	5165	3700	4440	4233
PENG0000004837	12798	6296	13651	8071	12755	11910	11483	5919	10897	4801	11534	9462
PENG0000004838	0	0	0	0	70	0	48	0	48	0	0	0
PENG0000004839	1978	1469	1124	1103	2071	1154	1144	1265	2754	1086	2196	903
PENG0000004840	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004841	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004842	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004843	0	0	0	1	0	0	0	0	0	0	0	0
PENG0000004844	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004845	0	0	1	0	0	0	0	0	2	0	1	0
PENG0000004846	1491	1158	802	979	1295	734	1077	232	1122	667	811	1018
PENG0000004847	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004848	48	52	39	39	31	18	63	48	31	34	46	51
PENG0000004849	1	1	1	0	0	0	1	0	1	0	0	0
PENG0000004850	10	29	5	7	8	19	7	14	10	16	3	16
PENG0000004851	2	0	0	2	0	0	0	0	0	0	0	0
PENG0000004852	0	2	0	1	0	0	2	5	0	0	3	4
PENG0000004853	34	49	73	28	37	49	124	22	3	66	11	55
PENG0000004854	0	1	0	0	0	0	0	0	0	0	0	1
PENG0000004855	6	19	7	13	19	8	6	22	20	7	12	13
PENG0000004856	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004857	720	673	382	442	629	917	366	441	562	563	270	426
PENG0000004858	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004859	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004860	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004861	1	0	0	0	0	0	0	0	1	0	0	0
PENG0000004862	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004863	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004864	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004865	0	6	0	1	0	0	0	136	0	0	0	1
PENG0000004866	0	1	1	0	4	0	3	1	0	0	0	0
PENG0000004867	4342	3470	4133	3698	4612	2673	4391	3710	4258	2809	4482	3618
PENG0000004868	70	547	138	186	107	513	133	171	91	404	125	259
PENG0000004869	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004870	65	196	148	155	88	61	105	118	130	156	103	149
PENG0000004871	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004872	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004873	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004874	651	767	736	801	744	569	734	1172	673	652	949	843
PENG0000004875	11901	8711	12277	9214	13438	8260	12772	8908	11637	5988	12062	9441
PENG0000004876	1890	1038	710	856	2004	392	961	507	2550	722	882	521
PENG0000004877	3	0	6	1	1	0	3	0	1	3	0	1
PENG0000004878	0	0	0	0	0	0	0	1	0	0	0	0
PENG0000004879	50	109	98	95	42	75	82	64	55	87	105	85
PENG0000004880	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004881	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004882	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004883	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004884	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004885	41	374	107	238	49	77	84	400	53	300	85	203
PENG0000004886	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004887	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004888	0	0	0	1	0	0	0	0	0	0	0	0
PENG0000004889	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004890	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004891	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004892	1131	1327	815	1027	1291	1033	875	1071	1206	1014	861	922
PENG0000004893	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004894	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004895	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004896	0	0	0	0	0	0	0	0	0	1	0	0
PENG0000004897	0	0	0	0	2	5	2	21	2	4	4	3
PENG0000004898	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004899	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004900	0	1	0	0	0	0	0	0	0	0	0	0
PENG0000004901	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004902	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004903	0	0	0	0	1	0	0	0	0	1	0	0
PENG0000004904	128	8039	752	7786	224	2937	553	15132	278	4629	845	7638
PENG0000004905	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004906	849	939	818	770	906	988	974	871	1074	818	844	747
PENG0000004907	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004908	0	0	0	0	0	0	0	0	0	2	0	0
PENG0000004909	2	1	2	3	2	5	1	6	8	0	5	3
PENG0000004910	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004911	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004912	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004913	0	0	0	0	0	0	0	0	0	0	2	0
PENG0000004914	0	0	0	3	0	1	0	0	0	0	0	2
PENG0000004915	3	14	3	6	1	3	1	3	6	16	5	11
PENG0000004916	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004917	0	2	0	3	0	3	1	0	0	1	3	0
PENG0000004918	0	0	0	0	0	0	0	0	0	0	0	1
PENG0000004919	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004920	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004921	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004922	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004923	83	117	90	82	111	52	77	47	114	71	99	53
PENG0000004924	0	0	0	0	0	0	0	0	0	0	0	3
PENG0000004925	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004926	318	384	289	344	298	370	257	588	286	336	339	370
PENG0000004927	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004928	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004929	3293	3707	2772	3599	3480	4257	3270	3776	3181	3413	2568	3311
PENG0000004930	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004931	1	3	4	2	0	1	0	6	2	0	9	0
PENG0000004932	0	10	3	5	1	18	10	4	5	14	4	9
PENG0000004933	1	2	1	2	0	0	0	2	0	2	0	4
PENG0000004934	0	0	1	0	0	0	0	0	2	1	0	0
PENG0000004935	2480	1901	2268	2244	2839	1728	2889	2956	2618	1531	2675	2189
PENG0000004936	14532	17244	23092	25716	16357	15038	25415	16637	15004	13214	20130	26481
PENG0000004937	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004938	4759	6563	4288	6401	5030	5002	4987	6511	4328	4841	4274	5434
PENG0000004939	0	0	0	0	0	0	1	0	0	0	0	0
PENG0000004940	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004941	4	2	1	7	0	1	7	0	0	5	0	0
PENG0000004942	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004943	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004944	10	408	29	458	19	174	79	588	39	320	44	304
PENG0000004945	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004946	0	0	0	0	0	0	0	1	0	1	0	0
PENG0000004947	2666	4200	3655	5227	2564	1606	4238	11472	2991	2711	5442	3723
PENG0000004948	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004949	846	795	722	696	723	576	811	758	767	560	866	751
PENG0000004950	18	21	79	18	18	5	44	13	28	19	54	48
PENG0000004951	5	1540	12	1092	4	1230	12	620	4	1687	25	831
PENG0000004952	747	207	577	322	774	254	537	213	702	198	528	395
PENG0000004953	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004954	39	291	72	229	63	87	46	1637	35	309	45	281
PENG0000004955	5443	19975	4956	16831	5685	9798	5578	15444	4603	13671	4518	15987
PENG0000004956	821	968	495	769	808	870	584	1116	923	711	809	944
PENG0000004957	1294	1453	1185	1545	1400	1234	1462	1072	1418	1217	1616	1152
PENG0000004958	1574	2799	1516	3039	1707	2288	1255	2778	1621	2209	1442	2885
PENG0000004959	93	39	132	31	102	11	79	48	72	55	90	24
PENG0000004960	6780	13382	9063	17934	6805	4775	11836	16029	6891	8674	7550	13100
PENG0000004961	0	0	0	0	0	0	0	0	0	0	0	1
PENG0000004962	353	108	231	144	505	99	160	485	282	134	173	124
PENG0000004963	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004964	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004965	0	0	0	0	0	0	2	0	2	1	0	6
PENG0000004966	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004967	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004968	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004969	3915	2830	4042	3087	4369	3149	3536	2545	3666	1918	3944	3952
PENG0000004970	1	8	4	8	2	12	3	16	7	26	12	8
PENG0000004971	0	0	0	1	0	0	0	0	0	0	0	0
PENG0000004972	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004973	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004974	0	0	0	0	0	0	0	0	0	0	1	0
PENG0000004975	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004976	4	4	0	3	4	8	2	7	2	9	0	6
PENG0000004977	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004978	1	0	0	0	1	1	1	0	0	0	1	1
PENG0000004979	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004980	53	4524	86	3902	53	6260	153	1910	91	5974	101	3379
PENG0000004981	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004982	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004983	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004984	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004985	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004986	2229	5521	9370	7351	2405	8589	10172	2270	4009	4622	10815	7412
PENG0000004987	0	0	0	0	0	0	0	3	0	0	0	0
PENG0000004988	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004989	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004990	0	0	0	0	0	0	0	0	0	1	0	0
PENG0000004991	68	2226	321	5175	56	416	80	3131	25	1317	336	2695
PENG0000004992	409	224	388	171	559	165	541	186	795	167	547	164
PENG0000004993	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004994	8	221	64	164	13	51	44	999	15	95	67	158
PENG0000004995	0	78	0	44	0	0	33	0	0	82	15	12
PENG0000004996	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004997	0	0	1	0	0	0	0	0	0	0	0	0
PENG0000004998	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000004999	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005000	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005001	465	659	375	880	492	1325	329	837	264	608	184	1086
PENG0000005002	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005003	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005004	288	225	217	256	296	115	256	494	309	196	238	282
PENG0000005005	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005006	0	0	0	0	1	0	1	1	0	0	1	0
PENG0000005007	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005008	273	232	133	198	284	271	85	252	650	107	269	154
PENG0000005009	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005010	1	0	0	0	1	0	1	2	0	0	0	0
PENG0000005011	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005012	98	2610	206	1475	117	985	152	623	147	1823	268	1125
PENG0000005013	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005014	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005015	0	4	3	0	0	0	0	1	0	3	2	5
PENG0000005016	0	0	1	1	0	0	0	0	0	0	0	0
PENG0000005017	56	307	143	338	62	97	99	568	81	288	197	241
PENG0000005018	2	1	1	0	5	2	1	1	0	2	5	3
PENG0000005019	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005020	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005021	129	107	318	137	165	74	294	182	148	84	250	203
PENG0000005022	0	20	1	18	1	32	0	13	0	20	0	18
PENG0000005023	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005024	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005025	1120	2650	1346	2953	1248	1893	1502	12229	1545	2552	1492	3722
PENG0000005026	3	17	14	23	14	0	6	28	19	20	8	10
PENG0000005027	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005028	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005029	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005030	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005031	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005032	2603	2577	2350	2690	2534	2693	2870	1755	2100	2308	2047	3873
PENG0000005033	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005034	0	0	0	0	0	0	0	3	0	0	0	0
PENG0000005035	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005036	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005037	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005038	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005039	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005040	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005041	1363	1918	1124	1378	1457	1767	1123	1919	1265	1601	1106	1307
PENG0000005042	6875	4829	6675	5326	7219	3109	6176	4049	6646	3132	7033	5672
PENG0000005043	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005044	0	0	0	2	1	4	0	6	0	1	0	1
PENG0000005045	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005046	2	1	0	10	0	4	0	2	0	5	0	3
PENG0000005047	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005048	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005049	0	22	0	5	0	0	0	50	1	26	0	12
PENG0000005050	80	15	17	10	49	24	42	0	71	7	27	9
PENG0000005051	0	1	0	0	0	0	0	0	0	0	0	1
PENG0000005052	0	0	0	3	0	9	0	0	0	0	0	0
PENG0000005053	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005054	0	3	6	3	2	0	7	2	4	1	0	7
PENG0000005055	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005056	3494	586	2707	400	3310	1757	2408	172	3207	635	2250	389
PENG0000005057	0	0	0	0	1	0	0	0	0	0	0	0
PENG0000005058	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005059	0	1	0	0	0	1	0	0	0	2	0	0
PENG0000005060	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005061	127	280	623	193	162	520	933	797	233	317	803	309
PENG0000005062	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005063	14172	8125	11043	9446	14594	7588	9719	8392	13270	6189	10633	9590
PENG0000005064	74	90	76	84	69	88	64	80	86	53	69	68
PENG0000005065	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005066	1	0	0	0	0	0	0	0	0	2	0	0
PENG0000005067	0	0	0	0	0	0	0	4	0	0	0	0
PENG0000005068	576	504	559	479	576	559	531	419	510	376	478	498
PENG0000005069	2	8	9	9	4	9	13	2	0	3	23	18
PENG0000005070	0	1	0	2	2	2	0	1	0	0	0	0
PENG0000005071	2898	3398	2001	2340	3292	2288	2547	2909	2608	2418	1655	2288
PENG0000005072	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005073	0	0	0	0	0	0	0	0	0	0	0	1
PENG0000005074	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005075	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005076	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005077	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005078	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005079	1	35	8	50	10	42	7	64	8	29	7	34
PENG0000005080	0	1	3	0	0	0	0	0	0	2	0	0
PENG0000005081	0	0	1	0	0	0	0	0	0	0	0	0
PENG0000005082	103	111	195	168	95	442	217	50	146	104	214	159
PENG0000005083	5	0	7	0	0	0	10	0	9	0	16	0
PENG0000005084	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005085	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005086	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005087	2	9	2	6	0	7	1	5	3	7	1	5
PENG0000005088	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005089	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005090	0	10	2	1	0	0	0	0	0	1	0	2
PENG0000005091	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005092	572	61	395	62	666	51	525	150	589	48	665	67
PENG0000005093	1	78	1	73	4	17	0	70	2	46	7	56
PENG0000005094	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005095	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000005096	2	26	3	19	1	9	0	40	0	31	5	14
PENG0000005097	113	309	163	317	131	277	174	487	82	290	149	257
