month	day	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
1	17		15.426	14.853	14.798	15.179	14.85	14.4	14.639	14.958	14.765	14.928	14.979	14.713	14.391	14.573	14.876	14.692	14.595	14.105	14.371	14.674	14.413	14.036	14.135	14.26	14.441	14.112	13.686	13.447	13.543	13.813	14.04	13.793	13.443	13.73	13.741	13.578	13.657	13.541	12.94	13.095	13.509	13.566	13.556	13.847
1	18		15.456	14.894	14.873	15.195	14.965	14.367	14.72	14.986	14.824	14.973	15.011	14.756	14.413	14.597	14.979	14.752	14.625	14.134	14.4	14.72	14.421	14.105	14.188	14.302	14.512	14.124	13.697	13.423	13.625	13.848	14.1	13.813	13.478	13.684	13.795	13.632	13.712	13.556	12.989	13.126	13.569	13.631	13.639	13.906
1	19		15.509	14.969	14.937	15.224	14.994	14.357	14.795	15.044	14.87	15.012	15.045	14.8	14.456	14.619	15.057	14.802	14.649	14.192	14.452	14.748	14.431	14.192	14.254	14.34	14.57	14.135	13.714	13.422	13.714	13.891	14.152	13.837	13.525	13.651	13.864	13.685	13.769	13.582	13.072	13.15	13.614	13.681	13.701	13.95
1	20		15.575	15.038	15.032	15.218	15.033	14.406	14.832	15.07	14.921	15.027	15.076	14.855	14.494	14.661	15.118	14.844	14.689	14.252	14.518	14.792	14.423	14.287	14.326	14.408	14.644	14.18	13.746	13.394	13.792	13.919	14.167	13.86	13.549	13.645	13.92	13.74	13.8	13.615	13.172	13.171	13.658	13.741	13.751	13.976
1	21		15.613	15.073	15.039	15.217	15.127	14.403	14.893	15.131	14.983	15.052	15.138	14.916	14.54	14.724	15.156	14.882	14.73	14.274	14.576	14.834	14.41	14.36	14.396	14.477	14.688	14.186	13.739	13.367	13.849	13.964	14.176	13.884	13.565	13.677	13.961	13.785	13.794	13.654	13.246	13.183	13.707	13.806	13.773	14.02
1	22		15.635	15.131	15.06	15.239	15.183	14.478	14.91	15.206	15.088	15.07	15.193	14.971	14.574	14.782	15.199	14.907	14.753	14.304	14.629	14.875	14.407	14.409	14.461	14.538	14.682	14.218	13.73	13.373	13.909	14.028	14.208	13.899	13.602	13.735	13.975	13.839	13.813	13.678	13.334	13.197	13.742	13.854	13.777	14.063
1	23		15.694	15.152	15.097	15.245	15.254	14.566	14.925	15.209	15.161	15.077	15.252	14.996	14.625	14.837	15.234	14.932	14.784	14.342	14.667	14.907	14.43	14.462	14.519	14.589	14.651	14.255	13.758	13.43	13.971	14.101	14.222	13.907	13.633	13.797	14.002	13.893	13.843	13.686	13.434	13.228	13.787	13.908	13.8	14.084
1	24		15.711	15.168	15.112	15.294	15.355	14.611	14.962	15.233	15.243	15.072	15.293	15.001	14.656	14.877	15.282	14.97	14.788	14.372	14.692	14.942	14.459	14.518	14.578	14.631	14.62	14.278	13.81	13.448	14.028	14.193	14.205	13.912	13.66	13.859	14.024	13.943	13.861	13.708	13.528	13.278	13.831	13.944	13.842	14.093
1	25		15.712	15.182	15.156	15.337	15.352	14.665	14.99	15.263	15.354	15.066	15.336	15.004	14.698	14.904	15.33	15.009	14.796	14.423	14.71	14.978	14.497	14.573	14.605	14.653	14.578	14.266	13.853	13.49	14.091	14.294	14.2	13.918	13.687	13.907	14.066	14	13.891	13.723	13.607	13.322	13.857	13.979	13.882	14.088
1	26		15.703	15.202	15.207	15.407	15.371	14.706	15.056	15.268	15.419	15.066	15.358	15.048	14.72	14.938	15.398	15.048	14.789	14.453	14.741	15.035	14.542	14.634	14.627	14.67	14.546	14.283	13.89	13.558	14.138	14.385	14.193	13.948	13.722	13.943	14.101	14.07	13.925	13.739	13.67	13.349	13.881	14.01	13.926	14.075
1	27		15.715	15.176	15.255	15.469	15.381	14.745	15.111	15.259	15.479	15.081	15.386	15.059	14.742	14.977	15.443	15.112	14.788	14.484	14.743	15.084	14.584	14.719	14.637	14.696	14.594	14.309	13.923	13.607	14.188	14.453	14.189	13.979	13.775	13.951	14.153	14.117	13.948	13.762	13.711	13.36	13.93	14.035	13.967	14.084
1	28		15.736	15.167	15.297	15.544	15.374	14.771	15.178	15.282	15.527	15.112	15.411	15.071	14.752	15.032	15.502	15.167	14.796	14.525	14.734	15.143	14.618	14.776	14.649	14.756	14.676	14.313	13.966	13.644	14.213	14.515	14.201	13.996	13.842	13.967	14.207	14.15	13.963	13.795	13.726	13.377	13.973	14.054	13.989	14.104
1	29		15.731	15.197	15.366	15.621	15.434	14.804	15.25	15.253	15.586	15.163	15.41	15.108	14.758	15.08	15.532	15.228	14.837	14.538	14.753	15.22	14.646	14.832	14.65	14.803	14.724	14.317	13.993	13.711	14.221	14.546	14.232	14.023	13.882	13.978	14.253	14.172	13.972	13.828	13.706	13.382	14.002	14.104	14	14.158
1	30		15.792	15.191	15.427	15.665	15.477	14.834	15.222	15.218	15.653	15.232	15.397	15.156	14.763	15.136	15.544	15.291	14.867	14.549	14.776	15.284	14.689	14.883	14.686	14.86	14.769	14.329	14.024	13.762	14.231	14.556	14.274	14.047	13.933	14.002	14.265	14.172	13.988	13.857	13.692	13.408	14.032	14.148	14.029	14.253
1	31		15.845	15.291	15.494	15.725	15.545	14.857	15.24	15.214	15.704	15.297	15.395	15.18	14.781	15.188	15.534	15.342	14.909	14.602	14.806	15.343	14.76	14.915	14.724	14.919	14.827	14.344	14.049	13.822	14.24	14.544	14.329	14.057	13.993	14.02	14.279	14.17	14.039	13.871	13.705	13.469	14.049	14.197	14.069	14.318
2	1		15.849	15.374	15.565	15.762	15.617	14.913	15.244	15.2	15.739	15.377	15.386	15.236	14.8	15.252	15.513	15.373	14.961	14.638	14.868	15.409	14.83	14.936	14.78	14.996	14.858	14.343	14.069	13.894	14.233	14.55	14.383	14.09	14.03	14.056	14.306	14.174	14.093	13.893	13.737	13.567	14.055	14.249	14.102	14.365
2	2		15.885	15.383	15.592	15.796	15.657	14.959	15.209	15.244	15.798	15.442	15.371	15.297	14.816	15.287	15.488	15.397	15.004	14.673	14.937	15.474	14.886	14.955	14.825	15.056	14.871	14.353	14.071	13.963	14.264	14.563	14.446	14.154	14.061	14.073	14.316	14.21	14.136	13.914	13.771	13.653	14.044	14.298	14.151	14.406
2	3		15.869	15.446	15.637	15.811	15.708	15.009	15.239	15.268	15.832	15.479	15.389	15.34	14.839	15.33	15.489	15.413	15.031	14.727	15.014	15.532	14.944	14.963	14.844	15.118	14.894	14.384	14.08	14.023	14.286	14.574	14.485	14.197	14.1	14.082	14.335	14.241	14.188	13.929	13.822	13.743	14.038	14.327	14.228	14.447
2	4		15.848	15.51	15.645	15.839	15.712	15.067	15.275	15.321	15.854	15.502	15.401	15.361	14.832	15.371	15.49	15.419	15.068	14.76	15.097	15.58	14.974	14.985	14.866	15.168	14.907	14.431	14.079	14.098	14.292	14.613	14.511	14.236	14.131	14.096	14.376	14.273	14.232	13.955	13.853	13.816	14.035	14.34	14.259	14.46
2	5		15.842	15.52	15.655	15.843	15.728	15.08	15.331	15.379	15.862	15.497	15.425	15.373	14.837	15.393	15.502	15.435	15.126	14.8	15.17	15.615	14.979	15.022	14.872	15.197	14.914	14.458	14.097	14.163	14.296	14.687	14.545	14.271	14.149	14.121	14.403	14.306	14.243	13.991	13.871	13.88	14.05	14.373	14.276	14.494
2	6		15.835	15.6	15.646	15.846	15.717	15.107	15.371	15.435	15.888	15.474	15.441	15.358	14.837	15.405	15.517	15.456	15.158	14.853	15.241	15.645	15.01	15.047	14.885	15.187	14.892	14.499	14.105	14.205	14.302	14.744	14.577	14.293	14.169	14.139	14.401	14.315	14.248	14.042	13.884	13.9	14.049	14.414	14.305	14.513
2	7		15.824	15.699	15.646	15.83	15.707	15.098	15.394	15.486	15.905	15.423	15.452	15.342	14.846	15.417	15.552	15.467	15.183	14.905	15.309	15.658	15.055	15.094	14.891	15.173	14.889	14.559	14.109	14.231	14.298	14.78	14.611	14.288	14.178	14.165	14.427	14.31	14.26	14.086	13.888	13.893	14.067	14.467	14.345	14.508
2	8		15.816	15.762	15.611	15.824	15.745	15.094	15.443	15.566	15.909	15.392	15.464	15.339	14.865	15.423	15.582	15.484	15.215	14.977	15.354	15.649	15.089	15.138	14.928	15.177	14.906	14.598	14.115	14.245	14.303	14.818	14.676	14.301	14.21	14.22	14.464	14.302	14.291	14.147	13.893	13.879	14.096	14.521	14.36	14.495
2	9		15.874	15.824	15.585	15.826	15.758	15.059	15.478	15.635	15.917	15.352	15.504	15.348	14.912	15.429	15.636	15.49	15.235	15.052	15.372	15.631	15.147	15.159	14.95	15.188	14.93	14.653	14.141	14.277	14.317	14.856	14.75	14.328	14.222	14.263	14.492	14.316	14.328	14.193	13.901	13.848	14.141	14.586	14.394	14.467
2	10		15.896	15.848	15.536	15.813	15.769	15.034	15.495	15.691	15.937	15.33	15.527	15.392	14.955	15.428	15.719	15.499	15.221	15.122	15.402	15.615	15.211	15.162	14.995	15.193	14.95	14.712	14.178	14.29	14.354	14.875	14.805	14.337	14.244	14.3	14.534	14.305	14.376	14.203	13.908	13.811	14.173	14.628	14.429	14.432
2	11		15.963	15.892	15.49	15.791	15.806	15.083	15.479	15.763	15.925	15.299	15.529	15.462	15.009	15.395	15.773	15.504	15.218	15.162	15.42	15.597	15.254	15.161	15.043	15.228	14.995	14.772	14.219	14.308	14.399	14.899	14.827	14.352	14.258	14.35	14.582	14.282	14.403	14.181	13.897	13.8	14.216	14.645	14.472	14.412
2	12		16.045	15.918	15.485	15.789	15.87	15.085	15.498	15.79	15.917	15.301	15.508	15.505	15.065	15.379	15.788	15.517	15.231	15.175	15.425	15.587	15.286	15.142	15.097	15.242	15.022	14.823	14.261	14.347	14.424	14.926	14.825	14.407	14.278	14.407	14.628	14.263	14.434	14.175	13.903	13.81	14.258	14.628	14.485	14.42
2	13		16.126	15.932	15.457	15.81	15.895	15.116	15.481	15.823	15.929	15.306	15.49	15.518	15.131	15.371	15.796	15.523	15.22	15.159	15.441	15.598	15.321	15.11	15.121	15.261	15.055	14.889	14.293	14.4	14.467	14.939	14.822	14.454	14.295	14.453	14.655	14.269	14.442	14.158	13.931	13.816	14.318	14.6	14.486	14.424
2	14		16.194	15.961	15.465	15.801	15.948	15.179	15.448	15.79	15.926	15.323	15.468	15.524	15.196	15.375	15.767	15.546	15.207	15.154	15.468	15.623	15.344	15.069	15.159	15.283	15.084	14.936	14.323	14.421	14.499	14.925	14.816	14.496	14.327	14.521	14.683	14.269	14.45	14.144	13.98	13.828	14.37	14.583	14.497	14.472
2	15		16.237	15.994	15.478	15.82	16.027	15.231	15.483	15.784	15.943	15.338	15.45	15.493	15.258	15.396	15.71	15.54	15.203	15.156	15.492	15.633	15.368	15.044	15.2	15.318	15.126	14.978	14.355	14.427	14.537	14.886	14.822	14.56	14.372	14.589	14.714	14.287	14.46	14.177	14.036	13.845	14.403	14.577	14.526	14.52
2	16		16.306	16.027	15.51	15.855	16.009	15.257	15.501	15.802	15.965	15.375	15.428	15.475	15.311	15.446	15.679	15.534	15.2	15.138	15.53	15.649	15.378	15.019	15.225	15.338	15.175	15.011	14.402	14.429	14.541	14.847	14.848	14.625	14.414	14.634	14.755	14.343	14.465	14.21	14.129	13.864	14.434	14.588	14.522	14.57
2	17		16.318	16.056	15.528	15.923	16.014	15.314	15.492	15.78	16.033	15.399	15.415	15.492	15.36	15.485	15.686	15.535	15.197	15.146	15.576	15.671	15.385	15	15.261	15.388	15.229	15.029	14.435	14.437	14.558	14.829	14.892	14.686	14.449	14.66	14.8	14.388	14.45	14.217	14.199	13.885	14.462	14.611	14.494	14.609
2	18		16.333	16.069	15.55	15.958	16.028	15.381	15.514	15.836	16.073	15.426	15.409	15.534	15.387	15.512	15.701	15.542	15.204	15.183	15.603	15.705	15.393	15.01	15.3	15.432	15.271	15.03	14.451	14.422	14.556	14.821	14.916	14.746	14.466	14.685	14.82	14.408	14.431	14.205	14.251	13.906	14.479	14.63	14.463	14.654
2	19		16.319	16.095	15.584	16.001	16.014	15.411	15.465	15.893	16.094	15.463	15.407	15.579	15.418	15.529	15.734	15.551	15.223	15.214	15.601	15.734	15.409	15.038	15.346	15.466	15.315	15.043	14.456	14.39	14.569	14.842	14.917	14.77	14.488	14.688	14.828	14.435	14.406	14.199	14.286	13.942	14.495	14.64	14.429	14.672
2	20		16.317	16.12	15.633	16.073	16.065	15.449	15.421	15.9	16.152	15.515	15.4	15.641	15.455	15.537	15.768	15.592	15.237	15.258	15.583	15.789	15.424	15.068	15.355	15.487	15.35	15.053	14.459	14.372	14.59	14.88	14.915	14.779	14.483	14.688	14.833	14.468	14.384	14.182	14.31	13.98	14.547	14.654	14.371	14.701
2	21		16.298	16.133	15.662	16.08	16.111	15.451	15.446	15.931	16.199	15.566	15.42	15.668	15.471	15.528	15.8	15.645	15.254	15.337	15.561	15.847	15.447	15.108	15.355	15.514	15.381	15.076	14.446	14.361	14.617	14.937	14.911	14.783	14.48	14.694	14.836	14.496	14.404	14.175	14.308	14.021	14.599	14.69	14.32	14.76
2	22		16.275	16.111	15.659	16.091	16.154	15.463	15.433	15.943	16.214	15.643	15.464	15.682	15.48	15.531	15.824	15.683	15.243	15.386	15.538	15.891	15.464	15.157	15.35	15.537	15.4	15.102	14.439	14.34	14.64	14.999	14.875	14.786	14.479	14.705	14.812	14.527	14.443	14.168	14.334	14.066	14.649	14.744	14.311	14.798
2	23		16.317	16.118	15.692	16.108	16.202	15.464	15.438	15.939	16.234	15.752	15.499	15.695	15.516	15.534	15.835	15.704	15.243	15.412	15.504	15.919	15.473	15.192	15.358	15.528	15.417	15.126	14.464	14.324	14.672	15.065	14.843	14.79	14.495	14.722	14.81	14.563	14.475	14.18	14.353	14.118	14.678	14.777	14.316	14.824
2	24		16.33	16.108	15.697	16.118	16.228	15.461	15.472	15.962	16.284	15.824	15.536	15.721	15.531	15.534	15.825	15.716	15.26	15.426	15.503	15.947	15.466	15.234	15.372	15.5	15.433	15.143	14.497	14.326	14.704	15.126	14.835	14.798	14.495	14.744	14.847	14.578	14.5	14.211	14.362	14.143	14.689	14.794	14.307	14.832
2	25		16.413	16.077	15.68	16.182	16.259	15.486	15.504	15.987	16.281	15.864	15.575	15.739	15.549	15.531	15.772	15.698	15.282	15.395	15.496	15.98	15.462	15.253	15.404	15.481	15.438	15.155	14.534	14.336	14.699	15.193	14.83	14.813	14.495	14.768	14.904	14.579	14.517	14.244	14.369	14.164	14.668	14.79	14.302	14.841
2	26		16.49	16.074	15.676	16.226	16.29	15.501	15.507	15.969	16.275	15.91	15.612	15.791	15.573	15.533	15.717	15.662	15.289	15.345	15.47	15.999	15.467	15.262	15.442	15.45	15.447	15.159	14.591	14.337	14.704	15.229	14.852	14.819	14.503	14.797	14.96	14.592	14.508	14.285	14.364	14.18	14.649	14.773	14.314	14.804
2	27		16.51	16.078	15.687	16.259	16.316	15.521	15.582	15.971	16.272	15.947	15.642	15.859	15.601	15.517	15.662	15.643	15.307	15.305	15.458	15.995	15.48	15.282	15.496	15.411	15.458	15.163	14.667	14.339	14.703	15.261	14.899	14.809	14.503	14.821	15.018	14.602	14.481	14.34	14.341	14.177	14.628	14.757	14.329	14.779
2	28		16.565	16.125	15.677	16.317	16.278	15.548	15.65	15.975	16.27	15.966	15.658	15.927	15.587	15.516	15.63	15.641	15.335	15.268	15.491	15.955	15.468	15.314	15.551	15.398	15.474	15.171	14.715	14.356	14.693	15.267	14.96	14.818	14.481	14.861	15.078	14.621	14.462	14.406	14.318	14.199	14.607	14.787	14.388	14.752
2	29			16.144				15.554				16.008				15.494				15.228				15.322				15.176				15.262				14.908				14.451				14.842		
3	1		16.588	16.149	15.662	16.29	16.277	15.564	15.697	15.958	16.2	16.066	15.642	15.973	15.57	15.492	15.631	15.64	15.334	15.214	15.508	15.916	15.432	15.361	15.583	15.399	15.497	15.169	14.771	14.386	14.677	15.264	15.032	14.839	14.477	14.971	15.109	14.633	14.468	14.465	14.311	14.239	14.586	14.903	14.461	14.739
3	2		16.593	16.189	15.651	16.28	16.201	15.52	15.761	15.979	16.162	16.106	15.631	16.017	15.542	15.489	15.685	15.67	15.326	15.213	15.542	15.849	15.373	15.399	15.612	15.409	15.537	15.149	14.826	14.413	14.668	15.26	15.101	14.882	14.472	15.039	15.11	14.651	14.454	14.467	14.31	14.263	14.59	14.943	14.555	14.738
3	3		16.548	16.208	15.642	16.284	16.126	15.499	15.74	16.002	16.066	16.138	15.637	16.042	15.51	15.478	15.748	15.698	15.321	15.229	15.541	15.791	15.308	15.429	15.646	15.418	15.559	15.122	14.847	14.433	14.687	15.228	15.128	14.936	14.477	15.111	15.088	14.657	14.446	14.453	14.329	14.276	14.593	14.98	14.64	14.734
3	4		16.546	16.203	15.67	16.263	16.07	15.494	15.744	16.009	15.966	16.136	15.645	16.055	15.455	15.452	15.779	15.717	15.326	15.234	15.518	15.752	15.246	15.436	15.671	15.422	15.565	15.085	14.854	14.449	14.694	15.219	15.134	15.006	14.494	15.171	15.07	14.671	14.436	14.41	14.353	14.289	14.601	15.012	14.72	14.734
3	5		16.553	16.236	15.677	16.281	16.003	15.457	15.732	16.022	15.956	16.141	15.652	16.058	15.419	15.447	15.813	15.723	15.311	15.254	15.457	15.736	15.231	15.439	15.672	15.409	15.555	15.054	14.878	14.471	14.694	15.223	15.136	15.069	14.531	15.22	15.047	14.701	14.407	14.367	14.384	14.259	14.611	15.018	14.742	14.755
3	6		16.512	16.275	15.667	16.304	15.993	15.489	15.702	16.025	15.905	16.149	15.694	16.054	15.409	15.43	15.84	15.72	15.314	15.273	15.417	15.727	15.226	15.438	15.659	15.415	15.532	15.056	14.884	14.497	14.688	15.216	15.135	15.129	14.572	15.236	15.018	14.736	14.371	14.351	14.399	14.218	14.633	15.005	14.758	14.767
3	7		16.524	16.28	15.686	16.306	15.965	15.518	15.695	16.027	15.863	16.165	15.701	16.034	15.385	15.411	15.85	15.694	15.31	15.293	15.368	15.73	15.227	15.421	15.639	15.411	15.499	15.074	14.88	14.506	14.682	15.211	15.111	15.158	14.624	15.234	15.011	14.759	14.349	14.348	14.406	14.195	14.658	14.989	14.755	14.765
3	8		16.557	16.295	15.672	16.312	16.01	15.536	15.693	16.046	15.858	16.178	15.677	16.019	15.403	15.419	15.865	15.668	15.323	15.305	15.36	15.738	15.242	15.377	15.608	15.433	15.463	15.096	14.899	14.535	14.663	15.224	15.077	15.18	14.646	15.226	15.026	14.734	14.314	14.357	14.392	14.193	14.688	14.972	14.742	14.775
3	9		16.55	16.253	15.645	16.249	16.036	15.562	15.654	16.058	15.81	16.208	15.621	16.019	15.435	15.444	15.898	15.619	15.328	15.308	15.354	15.763	15.265	15.357	15.578	15.477	15.435	15.149	14.928	14.575	14.679	15.256	15.039	15.172	14.667	15.206	15.044	14.713	14.292	14.372	14.378	14.205	14.718	14.954	14.735	14.77
3	10		16.541	16.229	15.674	16.216	16.082	15.57	15.628	16.091	15.747	16.242	15.561	16.026	15.459	15.471	15.903	15.577	15.317	15.306	15.355	15.781	15.268	15.339	15.572	15.513	15.406	15.201	14.926	14.62	14.715	15.259	14.981	15.148	14.653	15.187	15.057	14.674	14.301	14.379	14.35	14.229	14.744	14.949	14.75	14.749
3	11		16.532	16.166	15.688	16.177	16.137	15.578	15.623	16.121	15.757	16.267	15.49	16.059	15.463	15.5	15.922	15.556	15.285	15.284	15.357	15.784	15.298	15.31	15.574	15.55	15.387	15.216	14.935	14.663	14.746	15.266	14.927	15.12	14.629	15.179	15.091	14.655	14.298	14.391	14.345	14.267	14.792	14.961	14.778	14.715
3	12		16.524	16.104	15.678	16.111	16.207	15.579	15.594	16.127	15.746	16.275	15.42	16.117	15.472	15.531	15.94	15.533	15.253	15.257	15.364	15.774	15.339	15.31	15.581	15.568	15.362	15.201	14.952	14.683	14.765	15.288	14.884	15.106	14.597	15.175	15.111	14.664	14.308	14.386	14.346	14.311	14.807	14.983	14.781	14.681
3	13		16.488	16.058	15.695	16.076	16.26	15.583	15.701	16.149	15.779	16.261	15.38	16.159	15.462	15.539	15.966	15.525	15.223	15.232	15.396	15.753	15.373	15.328	15.582	15.571	15.33	15.14	14.944	14.669	14.762	15.296	14.87	15.101	14.584	15.155	15.132	14.738	14.325	14.393	14.356	14.346	14.817	14.969	14.771	14.643
3	14		16.463	16.003	15.73	16.052	16.311	15.614	15.764	16.105	15.811	16.215	15.369	16.177	15.464	15.532	15.987	15.544	15.176	15.214	15.429	15.714	15.367	15.302	15.601	15.568	15.32	15.064	14.897	14.628	14.725	15.266	14.886	15.102	14.577	15.13	15.153	14.792	14.34	14.39	14.374	14.387	14.809	14.944	14.737	14.605
3	15		16.412	16	15.729	16.02	16.38	15.628	15.874	16.079	15.842	16.15	15.374	16.17	15.464	15.523	15.979	15.565	15.154	15.197	15.461	15.692	15.359	15.267	15.613	15.576	15.335	14.986	14.861	14.558	14.653	15.255	14.907	15.099	14.581	15.15	15.167	14.854	14.356	14.422	14.391	14.423	14.797	14.941	14.697	14.56
3	16		16.362	15.98	15.743	15.98	16.325	15.673	16.004	16.059	15.873	16.083	15.359	16.132	15.478	15.498	15.949	15.568	15.151	15.178	15.485	15.654	15.358	15.234	15.638	15.552	15.352	14.936	14.813	14.477	14.592	15.227	14.917	15.113	14.606	15.174	15.159	14.899	14.369	14.435	14.375	14.451	14.757	14.928	14.672	14.537
3	17		16.397	15.983	15.786	15.955	16.313	15.72	16.057	16.019	15.877	15.997	15.359	16.054	15.486	15.457	15.928	15.563	15.172	15.152	15.517	15.626	15.36	15.196	15.652	15.53	15.386	14.922	14.761	14.421	14.565	15.194	14.948	15.128	14.632	15.199	15.156	14.927	14.358	14.452	14.358	14.465	14.729	14.907	14.677	14.51
